manual_capture_2026-01-07T04:41:48.281Z.jpg,2026-01-07 10:11:51,2,690
manual_capture_2026-01-07T04:41:50.313Z.jpg,2026-01-07 10:11:52,2,679
manual_capture_2026-01-07T04:41:53.382Z.jpg,2026-01-07 10:11:56,3,708
manual_capture_2026-01-07T04:41:55.211Z.jpg,2026-01-07 10:11:56,2,639
manual_capture_2026-01-07T04:41:57.708Z.jpg,2026-01-07 10:12:00,0,638
manual_capture_2026-01-07T04:41:59.055Z.jpg,2026-01-07 10:12:01,8,813
manual_capture_2026-01-07T04:42:05.499Z.jpg,2026-01-07 10:12:07,0,657
manual_capture_2026-01-07T04:42:06.237Z.jpg,2026-01-07 10:12:08,2,668
manual_capture_2026-01-07T04:42:19.504Z.jpg,2026-01-07 10:12:21,2,656
manual_capture_2026-01-07T04:42:34.442Z.jpg,2026-01-07 10:12:37,1,701
manual_capture_2026-01-07T04:42:34.690Z.jpg,2026-01-07 10:12:37,2,709
manual_capture_2026-01-07T04:42:35.853Z.jpg,2026-01-07 10:12:38,4,639
manual_capture_2026-01-07T04:42:39.280Z.jpg,2026-01-07 10:12:42,6,680
manual_capture_2026-01-07T04:42:39.974Z.jpg,2026-01-07 10:12:42,2,654
manual_capture_2026-01-07T04:42:48.112Z.jpg,2026-01-07 10:12:49,3,660
manual_capture_2026-01-07T04:42:48.113Z.jpg,2026-01-07 10:12:50,4,663
manual_capture_2026-01-07T04:42:51.264Z.jpg,2026-01-07 10:12:53,1,631
manual_capture_2026-01-07T04:42:51.872Z.jpg,2026-01-07 10:12:54,2,670
manual_capture_2026-01-07T04:42:51.919Z.jpg,2026-01-07 10:12:55,2,688
manual_capture_2026-01-07T04:42:53.022Z.jpg,2026-01-07 10:12:55,3,634
manual_capture_2026-01-07T04:42:55.147Z.jpg,2026-01-07 10:12:59,7,764
manual_capture_2026-01-07T04:42:55.280Z.jpg,2026-01-07 10:13:00,5,618
manual_capture_2026-01-07T04:42:56.250Z.jpg,2026-01-07 10:13:00,5,671
manual_capture_2026-01-07T04:42:56.914Z.jpg,2026-01-07 10:13:01,1,653
manual_capture_2026-01-07T04:42:59.045Z.jpg,2026-01-07 10:13:05,5,671
manual_capture_2026-01-07T04:42:59.691Z.jpg,2026-01-07 10:13:05,2,660
manual_capture_2026-01-07T04:43:03.479Z.jpg,2026-01-07 10:13:06,2,667
manual_capture_2026-01-07T04:43:09.208Z.jpg,2026-01-07 10:13:10,4,693
manual_capture_2026-01-07T04:43:10.302Z.jpg,2026-01-07 10:13:13,4,726
manual_capture_2026-01-07T04:43:20.063Z.jpg,2026-01-07 10:13:23,1,663
manual_capture_2026-01-07T04:43:23.075Z.jpg,2026-01-07 10:13:27,3,641
manual_capture_2026-01-07T04:43:24.698Z.jpg,2026-01-07 10:13:27,1,595
manual_capture_2026-01-07T04:44:27.280Z.jpg,2026-01-07 10:14:28,5,699
manual_capture_2026-01-07T04:44:44.691Z.jpg,2026-01-07 10:14:47,2,670
manual_capture_2026-01-07T04:44:57.802Z.jpg,2026-01-07 10:14:59,3,666
